symbol,side,entry_price,exit_price,realized_pnl,entry_quality,exit_quality,max_favorable_pct,max_adverse_pct,close_reason
SOLUSDT,SHORT,67.49,65.771739,1.19,优秀,提前,10.93,0.99,close_short
SOLUSDT,SHORT,69.2,68.923461,0.22,优秀,提前,8.73,-1.0,close_short
SOLUSDT,SHORT,68.58,68.941489,-0.271500000000002,一般,及时止损,7.25,-3.03,sync_absent_from_exchange
SOLUSDT,SHORT,72.29,71.927931,0.22,优秀,提前,7.77,0.01,close_short
SOLUSDT,LONG,81.17,80.48,-0.15,差,及时止损,0.57,-8.33,close_long
SOLUSDT,SHORT,81.37,80.51,0.52,优秀,提前,2.77,-0.32,close_short
WLDUSDT,SHORT,0.6272,0.61371256,3.01,一般,良好,3.7,-6.11,break_even_stop
WLDUSDT,LONG,0.6028,0.6308935,6.07,优秀,提前,14.96,-4.28,manual_close_long
WLDUSDT,LONG,0.5049,0.52556933,4.92,优秀,提前,24.76,-1.86,close_long
WLDUSDT,LONG,0.5068,0.51576896,3.53,良好,提前,5.66,-3.47,close_long
WLDUSDT,SHORT,0.4857,0.47011796,5.99,优秀,提前,6.59,-2.45,close_short
WLDUSDT,LONG,0.50835715,0.4834,-1.92,差,及时止损,0.24,-10.75,close_long
WLDUSDT,SHORT,0.4813,0.5041,-0.84,一般,延迟止损,4.07,-6.81,close_short
WLDUSDT,SHORT,0.4367,0.4589,-2.29,差,及时止损,-2.15,-18.48,close_short
WLDUSDT,SHORT,0.5051,0.49790204,0.7,优秀,提前,15.09,-4.0,manual_close_short
WLDUSDT,LONG,0.5268,0.5268,0.0,差,未分析,0.95,-16.67,sync_absent_from_exchange
WLDUSDT,LONG,0.5,0.50588,0.38,优秀,提前,11.04,-3.6,manual_close_long
WLDUSDT,SHORT,0.4352,0.42257647,0.64,一般,良好,4.39,-18.11,manual_close_short
ZECUSDT,SHORT,477.29,484.86,-0.76,一般,延迟止损,7.64,-2.58,close_short
ZECUSDT,LONG,424.36,452.093,44.3764,优秀,提前,16.31,-1.97,sync_absent_from_exchange
ZECUSDT,SHORT,424.39,417.208182,0.79,优秀,提前,4.94,-2.03,manual_close_short
ZECUSDT,SHORT,424.13,435.45875,-2.72,一般,延迟止损,2.65,-4.64,close_short
ZECUSDT,SHORT,419.16,440.1,-4.4,一般,延迟止损,4.14,-7.05,close_short
ZECUSDT,LONG,434.59,448.2,0.27,优秀,提前,10.67,-4.54,sync_absent_from_exchange
